LSM_01	SRM_115	SBL_100	VISMINFL	VISMIN_C	ED_05	REP_20	VBR_10	CXRFLAG	CHH001_C	MARSTAT	WGHT_PER	SCF_101	SCF100_C
10	2	2	2	10	2	9	1	2	0	1	10.9646	6	3
9	2	2	9	99	7	2	2	1	1	1	873.6657	6	2
8	2	1	1	9	4	2	1	2	0	6	33.2191	6	5
8	1	2	2	10	7	2	1	2	0	1	1944.8397	6	2
5	2	2	2	10	1	2	1	1	0	1	1317.1591	6	2
6	1	1	1	1	7	2	2	1	1	1	3314.219	6	4
7	4	2	2	10	2	2	1	1	0	99	3455.827	6	8
5	4	5	2	10	1	2	1	2	0	1	1727.016	6	0
10	2	1	2	10	4	2	1	2	0	1	1973.1423	6	5
8	2	1	1	7	6	2	1	1	0	1	10	6	10
5	1	3	9	99	1	2	1	2	0	4	10	6	0
7	2	2	2	10	4	2	2	2	0	2	1514.2835	6	0
8	2	2	2	10	2	2	1	2	0	5	265.2267	6	5
8	2	2	1	4	5	2	1	1	2	1	10	6	4
10	3	9	2	10	1	2	2	2	0	6	1703.4681	6	0
7	3	3	9	99	2	2	1	1	2	3	10	6	2
6	3	2	2	10	7	2	1	2	0	5	1073.1506	6	10
5	3	1	2	10	1	2	2	1	1	1	5145.1421	6	5
10	1	1	1	6	2	2	1	2	0	5	10	6	5
10	2	1	2	10	2	2	2	1	1	1	547.7906	6	999
10	1	1	2	10	2	2	1	2	0	1	410.9677	6	12
1	1	1	1	3	1	2	2	1	1	6	10	6	3
8	1	2	1	7	4	2	1	2	0	6	4616.372	6	4
4	2	3	1	6	4	2	2	2	0	6	10	6	3
7	3	1	1	1	1	2	6	2	0	6	81.2116	6	5
8	1	3	2	10	7	2	2	2	0	6	10	6	0
8	1	1	2	10	2	2	1	2	0	3	255.2797	6	10
9	2	5	2	10	6	2	1	2	0	1	444.1051	6	2
8	1	1	2	10	1	2	1	2	0	1	603.5629	6	2
8	1	3	2	10	6	2	2	2	0	1	985.9554	1	1
6	3	2	2	10	6	1	1	2	0	1	550.9155	1	1
8	2	2	1	7	7	2	1	2	0	3	10	6	2
99	9	9	9	99	99	2	2	1	1	1	10	6	8
7	5	3	2	10	4	2	2	2	0	1	3471.5474	6	4
8	2	1	2	10	4	2	1	2	0	1	1468.7119	1	1
10	1	1	1	1	7	2	2	2	0	1	1994.294	6	0
8	3	5	2	10	4	2	1	2	0	1	225.2735	6	3
8	2	1	2	10	2	2	1	2	0	6	448.9976	6	6
9	2	2	2	10	2	2	1	2	0	6	727.2049	6	3
8	2	1	1	4	6	2	1	2	0	5	925.038	6	2
8	1	2	2	10	7	2	2	2	0	3	1107.2288	6	6
2	5	5	2	10	3	2	1	2	0	4	1698.1691	1	1
8	1	2	1	9	4	2	1	1	0	5	10	6	4
7	2	2	1	7	2	2	2	1	2	1	10	6	2
8	2	1	2	10	1	2	2	2	0	2	92.3894	6	4
8	3	3	2	10	4	2	1	1	1	1	10	6	8
4	1	2	1	7	2	9	2	1	0	1	11.627	1	1
5	4	4	2	10	6	2	1	2	0	6	1267.9498	6	8
3	3	1	2	10	7	2	1	1	2	1	1312.9364	6	10
7	3	1	1	8	7	2	1	2	0	6	13.691	6	4
7	4	2	2	10	6	2	1	2	0	1	1860.981	6	3
7	4	2	2	10	7	2	1	1	2	2	410.4997	6	4
5	3	1	1	1	2	2	1	1	0	1	3429.1862	6	5
6	1	1	2	10	2	9	1	2	0	1	10	6	2
8	2	3	2	10	6	2	1	2	0	5	387.9438	6	5
99	9	9	9	99	99	2	1	2	0	1	1342.4346	6	5
8	3	1	2	10	6	2	1	1	0	1	967.7494	6	11
7	2	2	2	10	6	2	1	1	1	1	1703.3805	6	5
6	4	2	9	99	4	2	1	2	0	1	11.3572	6	0
10	2	1	1	6	7	2	1	2	0	2	22.0007	6	4
4	3	2	1	8	4	2	1	2	0	5	15.6002	6	2
8	3	5	2	10	2	2	1	2	0	4	277.7389	6	0
8	1	1	1	8	5	2	1	1	1	1	10	6	6
8	1	1	2	10	4	2	1	2	0	3	198.4068	6	6
6	3	1	2	10	2	2	1	2	0	3	196.7782	6	2
99	9	1	1	1	4	2	1	1	0	1	45.8252	6	4
5	2	1	1	6	7	2	1	1	2	1	2431.0113	6	5
8	3	2	2	10	3	2	1	1	2	1	222.8437	6	10
99	9	9	9	99	4	2	1	2	0	6	10.0929	6	2
8	1	1	1	7	4	2	1	1	2	1	10	6	5
9	1	1	2	10	6	1	1	2	0	5	969.756	6	10
5	4	2	2	10	3	2	1	2	0	5	183.1226	6	5
7	2	1	2	10	2	2	9	2	0	2	464.1348	6	3
8	1	1	2	10	2	2	1	2	0	5	1115.4839	6	6
6	3	2	1	8	4	2	1	2	0	5	10	6	3
9	2	3	1	1	3	2	1	1	3	2	2043.5643	1	1
6	3	2	2	10	2	2	1	2	0	3	897.311	6	2
8	2	2	1	6	6	2	1	1	2	1	10	6	10
9	1	2	2	10	2	2	1	2	0	1	1510.2444	6	4
7	3	5	2	10	3	2	1	2	0	1	1635.5283	2	1
7	5	2	1	8	6	2	2	2	0	6	10	6	3
10	1	1	2	10	6	2	1	1	0	1	560.1234	6	4
7	3	3	2	10	6	2	1	2	0	6	899.1245	6	3
10	1	4	2	10	6	2	1	2	0	1	1350.7867	2	1
8	1	2	2	10	6	9	1	1	2	1	10	6	2
7	2	1	1	2	2	2	1	2	0	6	3492.6149	6	3
8	2	1	2	10	1	2	1	2	2	6	10	1	1
6	1	2	1	1	6	2	1	2	0	6	6711.4529	6	3
8	3	2	2	10	3	9	1	2	0	2	1353.8503	6	6
7	2	1	1	6	4	2	1	1	1	1	19.2341	6	2
7	1	3	1	6	6	2	2	2	0	6	10	6	5
8	3	2	1	6	1	2	1	2	0	3	10	6	3
9	1	9	1	5	1	2	6	2	1	6	12.8038	6	999
7	1	5	2	10	2	2	1	2	0	1	86.5608	6	8
6	3	5	9	99	1	2	2	1	0	5	10	6	0
9	4	1	1	2	6	2	2	2	0	6	10	6	5
8	1	2	1	7	6	2	2	1	2	1	10	6	3
10	2	1	1	1	5	2	1	2	0	1	2032.3422	6	10
9	2	2	2	10	3	2	1	2	0	3	1127.5519	6	10
6	3	5	2	10	4	2	2	1	0	1	3101.7981	6	7
8	3	2	2	10	2	2	1	2	0	3	1493.1313	6	3
10	1	2	2	10	5	2	1	2	0	1	1225.678	6	8
8	2	3	2	10	7	2	1	2	0	6	218.8292	6	2
7	2	5	2	10	2	2	1	2	0	3	45.8756	6	3
6	3	2	2	10	3	2	1	1	2	1	472.8524	6	12
0	5	4	2	10	1	2	2	2	0	6	2144.9141	6	0
7	1	1	2	10	7	2	1	1	1	5	3466.4762	6	5
7	3	1	1	8	6	2	1	2	0	6	10	6	7
