PRSPGNDR	PPROV	PVISMIN	PHHSIZE	PHHTTINC	PLIS_05	PGEOGR	PEMPL	PDWS_10I	PEHA_05A	PEHA_05B	PDWLTYPE	PDWS_05	PDWS_10C	PDV_SHCO	PCOS_05	PDCT_05
2	"11"	9	2	110000	7	"02"	1	1	2	2	"01"	3	2	300	6	1
1	"35"	2	1	23000	1	"16"	2	2	1	2	"06"	1	2	500	1	2
2	"35"	2	2	400000	9	"16"	1	1	2	2	"01"	3	1	1100	9	1
1	"24"	1	4	130000	5	"08"	1	4	2	2	"04"	2	4	1600	2	2
2	"48"	1	3	125000	7	"22"	9	1	2	2	"06"	1	3	1700	8	1
1	"10"	9	4	155000	8	"01"	1	2	2	2	"01"	3	2	1500	6	1
1	"24"	2	99	95000	1	"08"	1	2	1	2	"06"	1	2	200	1	1
2	"35"	2	1	57500	5	"13"	2	1	2	2	"01"	3	1	500	9	1
1	"35"	2	3	27000	4	"15"	9	4	2	2	"05"	1	4	900	4	2
1	"12"	9	2	105000	9	"04"	1	4	2	1	"01"	3	4	1500	5	1
1	"48"	2	3	23000	2	"24"	1	4	1	1	"03"	1	4	9999999.99	6	9
1	"13"	9	2	99999999999	9	"06"	1	1	2	2	"01"	3	1	9999999.99	9	1
2	"46"	9	2	99999999999	6	"18"	9	2	1	1	"06"	3	3	9999999.99	2	2
1	"47"	9	2	99999999999	4	"21"	9	1	2	2	"99"	1	4	9999999.99	4	9
1	"24"	2	1	99999999999	6	"09"	1	2	2	2	"02"	3	2	9999999.99	5	1
2	"24"	2	1	35000	9	"10"	2	2	2	2	"06"	2	2	600	9	2
2	"10"	9	1	46000	4	"01"	1	1	1	1	"04"	3	1	1700	8	1
1	"24"	2	3	110000	7	"10"	1	2	2	2	"01"	2	3	1000	7	2
1	"24"	2	99	99999999999	9	"07"	9	2	2	2	"06"	2	2	9999999.99	9	2
2	"48"	2	2	105000	4	"24"	1	4	1	1	"99"	1	3	1500	4	1
2	"13"	9	1	26000	6	"05"	1	2	2	2	"01"	3	1	1400	8	1
2	"35"	2	1	85000	6	"15"	1	2	2	2	"03"	3	2	1000	6	1
1	"24"	1	4	150000	8	"08"	1	1	2	2	"05"	2	2	2200	6	2
2	"24"	9	3	95000	7	"10"	9	3	1	2	"05"	3	2	500	7	2
